news_number,page_number,card_text,article_url
1,1,US CBS News Suspect in Molotov cocktail attack at OpenAI CEO's house charged with attempted murder,https://www.yahoo.com/news/articles/fbi-raids-home-suspect-accused-170936629.html
2,1,"US N.C. Daycare Worker Charged for Allegedly Breaking Child's Leg While Placing Them in 'Criss Cross Applesauce' Position Ashley Nicole Taris, 24, is charged with felony child abuse after allegedly fracturing a young boy’s leg at a Raleigh daycare, court records say People 2 min read",https://www.yahoo.com/news/articles/n-c-daycare-worker-charged-233842894.html
3,1,US Calif. Sheriff's Deputy Allegedly Caught Scrolling Dating App During SWAT Operation A Riverside County sheriff's deputy was allegedly caught scrolling on what appeared to be a dating app during a standoff People 2 min read,https://www.yahoo.com/news/articles/calif-sheriffs-deputy-allegedly-caught-223825247.html
4,1,"US Divers Find Body of 25-Year-Old Man After He Accidentally Falls Off Railroad Bridge ""A witness observed him struggling to stay above the surface before he submerged and did not resurface,"" police said People 2 min read",https://www.yahoo.com/news/articles/divers-body-25-old-man-222329718.html
5,1,"US Man Who Lost Son in Fire Accused of Shooting 17-Year-Old Son of Man He Believes Set the Blaze Gyaw Way's son died in December in a house fire that was ruled an accident, per authorities People 2 min read",https://www.yahoo.com/news/articles/man-lost-son-fire-accused-222237801.html
6,1,"US A Kiss Exposed Her Crimes. Now Teacher Pleads Guilty to Abusing 2 Students Shelby Lashombe, 25, of Texas, faces deferred probation and a $1,000 fine for her guilty plea, the district attorney's office said People 2 min read",https://www.yahoo.com/news/articles/kiss-exposed-her-crimes-now-215741391.html
7,1,"US Viral Ring Cam Video Shows Alleged Home Intruder’s Terrifying Demand: 'Where Is Your Daughter?' Jason Nichols is accused of forcing his way into a California family’s home after threatening the homeowner and demanding to know about his daughter, police say People 4 min read",https://www.yahoo.com/news/articles/viral-ring-cam-video-shows-214803324.html
8,1,"US Lightning Struck a Woman's Calif. Home, Starting a Fire Unseen from Inside. Then a Hero Neighbor Jumped Into Action Karen Boudreau credits her neighbor's quick actions for alerting her to the flames, saving her garage and potentially her home People 3 min read",https://www.yahoo.com/news/articles/lightning-struck-womans-calif-home-213606110.html
9,1,"US United Technician, 76, Sues Airline for Alleged Wrongful Termination After He Says He Took a Water Break While Feeling Unwell The former aircraft technician, Frank Bucci, also alleges retaliation and age discrimination after he raised multiple safety concerns about United's aircrafts People 3 min read",https://www.yahoo.com/news/articles/united-technician-76-sues-airline-213215840.html
10,1,"US An Elderly Woman Went Missing. Now Her Son Is Accused of Murdering Her and Hiding Body Behind Bookcase Kevan Works, 66, is charged with one count of first-degree murder and one count of concealing the death of a person People 2 min read",https://www.yahoo.com/news/articles/elderly-woman-went-missing-now-212832189.html
11,1,"US Man shot by ICE agents during California traffic stop arrested by FBI after hospital release, lawyer says A man who was shot by ICE agents during a traffic stop in Central California last week was arrested by the FBI upon release from the hospital Monday, according to his lawyer. CNN 448 8 min read",https://www.yahoo.com/news/articles/1-hospitalized-shooting-involving-ice-193853895.html
12,1,"US Naked Man Allegedly Broke Into Multiple Homes, and Va. Neighbors Erupted in Cheers When He Was Arrested Sedrick Walker was arrested following a stakeout on Monday, April 13 People 2 min read",https://www.yahoo.com/news/articles/naked-man-allegedly-broke-multiple-212213961.html
