article_url,title,summary,publish_time
https://www.yahoo.com/news/articles/more-women-accuse-eric-swalwell-235808275.html,More Women Accuse Eric Swalwell of Sexual Misconduct,"Per a Friday CNN exclusive, four women have accused Rep. Eric Swalwell (D-CA) of sexual misconduct — including a former staffer alleging the California gubernatorial candidate raped her.",2026-04-10
https://www.yahoo.com/news/articles/faa-military-agree-lasers-down-235047317.html,FAA and military agree on how to use lasers to take down drones at the southern border,"The Federal Aviation Administration and Department of Defense have come to an agreement on how “high-energy laser counter-drone” systems can be used at the Southern border, according to a news release...",2026-04-10
https://www.yahoo.com/news/articles/ex-washington-post-staffer-pleads-231726413.html,Ex-Washington Post staffer pleads guilty to child pornography possession,"Ex-Washington Post journalist Thomas LeGro pleaded guilty to one count of child pornography possession, according to an announcement from the office of U.S. Attorney Jeanine Pirro.",2026-04-10
https://www.yahoo.com/news/articles/swalwell-campaign-hit-mass-exodus-230930314.html,Swalwell Campaign Hit With Mass Exodus of Staff and Supporters After Sexual Assault Accusation,"At least four campaign staff, including senior adviser Courtni Pugh, have so far resigned as ranking Democratic colleagues withdraw support.",2026-04-10
https://www.yahoo.com/news/articles/tennessee-school-board-member-censured-230005562.html,Tennessee school board member censured after calling student ‘hot’ at meeting,"Tennessee county school board member Keith Ervin was censured after telling a student ""God, you're hot"" at a meeting, and he later apologized.",2026-04-10
https://www.yahoo.com/news/articles/milwaukee-dad-sentenced-6-kids-225624566.html,Milwaukee Dad Sentenced After 6 Kids Found Locked in 'Putrid' Storage Unit with Urine Bucket,"Charles Dupriest, 33, was sentenced Thursday to 5 years in prison after six children — including a 2-month-old — were found caring for each other inside a dark, ""putrid"" Milwaukee storage unit",2026-04-10
https://www.yahoo.com/news/articles/former-staffer-accuses-rep-eric-225020190.html,Former staffer accuses Rep. Eric Swalwell of sexually assaulting her while she was intoxicated,"A former aide to Rep. Eric Swalwell, a Democrat for governor of California, said he sexually assaulted her twice. He has denied the allegations.",2026-04-10
https://www.yahoo.com/news/articles/weird-obsession-death-current-former-224819012.html,‘Weird Obsession With Death’: Current and Former Defense Officials Sound the Alarm on Hegseth,"A Friday report from Rolling Stone shows raised alarm bells inside defense circles over Defense Secretary Pete Hegseth, with one retired Army Special Forces officer warning his rhetoric reflects a “we...",2026-04-10
https://www.yahoo.com/news/articles/swalwells-former-female-staffer-drops-224633539.html,"Swalwell's former female staffer drops bombshell allegations of sexual assault, exposing himself: report",The alleged victim revealed Rep. Eric Swalwell pressured her to send naked pictures of herself and sent sexually explicit photos of his own genitalia.,2026-04-10
https://www.yahoo.com/news/articles/strange-case-melania-model-deported-222243605.html,The Strange Case of Melania and the Model Deported by ICE,"They stood together next to Donald Trump, posing for the camera in front of a giant Christmas Tree at Mar-a-Lago, their hands almost touching. Melania Trump, 55, and Amanda Ungaro, 41, came to the Uni...",2026-04-10
https://www.yahoo.com/news/articles/2-elderly-people-rescued-partially-221903097.html,2 Elderly People Rescued from Partially Submerged Car After Vehicle Rolled into Pond,"The two occupants were taken to a hospitalin good health, the Port St. Lucie Police Department said",2026-04-10
https://www.yahoo.com/news/articles/wes-moore-preemptively-unloads-baltimore-220033406.html,"Wes Moore preemptively unloads on Baltimore Sun ahead of expose, as spox beefs with 'right wing' ownership",Gov. Wes Moore attacks the Baltimore Sun's new ownership as right-wing as journalists prepare an investigation into his personal and military record.,2026-04-10
https://www.yahoo.com/news/articles/five-people-charged-murder-deadly-185417414.html,Five people charged with murder in deadly Northern California fireworks warehouse explosion,"Five people have been charged with murder in a deadly Northern California explosion at a fireworks warehouse that killed seven people, authorities said.",2026-04-10
https://www.yahoo.com/news/articles/decades-wife-went-overboard-bahamas-213927264.html,"Decades Before Wife Went Overboard in Bahamas, Brian Hooker Was Accused of Choking Child. But He Was Acquitted","Hooker was arrested in connection with the disappearance of his wife, Lynette Hooker",2026-04-10
https://www.yahoo.com/news/articles/suspect-arrested-allegedly-throwing-molotov-213833201.html,Suspect Arrested After Allegedly Throwing Molotov Cocktail at Home of OpenAI CEO Sam Altman,"The device caused a fire at Altman's home on Friday, April 10, but no injuries were reported, San Francisco police said",2026-04-10
https://www.yahoo.com/news/articles/dhs-watchdog-paused-probes-immigration-212235619.html,DHS watchdog paused some probes of immigration enforcement amid shutdown,"WASHINGTON — The Department of Homeland Security’s internal watchdog has paused an ongoing audit of no-bid contracts due to the continuing shutdown of funding to the agency, as well as reviews of Immi...",2026-04-10
https://www.yahoo.com/news/articles/fox-news-campus-radicals-newsletter-212002755.html,"Fox News Campus Radicals Newsletter: Antifa-tied group's plan for chaos, school probe over transgender policy","Stay up to date with the Fox News Campus Radicals newsletter, which brings you the in-depth investigative stories from college campuses nationwide.",2026-04-10
https://www.yahoo.com/news/articles/streamer-said-rick-scott-killed-211839743.html,Streamer who said Rick Scott should be ‘killed’ invited to Yale as lawmaker demands funding cut,"Sen. Rick Scott, R-Fla., called on President Donald Trump to revoke Yale's federal funding over a planned event featuring controversial streamer Hasan Piker.",2026-04-10
https://www.yahoo.com/news/articles/just-former-staffer-accuses-eric-211828410.html,Former Staffer Accuses Eric Swalwell of Sexual Assault,"A former staffer for Eric Swalwell, who's running to be California's next governor, claimed the politician sexually assaulted her, according to a report.",2026-04-10
https://www.yahoo.com/news/articles/hamilton-strangler-killed-college-student-211538855.html,"'Hamilton Strangler' Killed College Student with Her Own Shirt, Then Lived Free for Years Until He Struck Again","John Carey, 66, was sentenced to life in prison without the possibility of parole after being convicted of first-degree murder last month in the 1986 killing of Claire Gravel",2026-04-10
https://www.yahoo.com/news/articles/unc-newspaper-halts-satire-implements-211056093.html,UNC Newspaper Halts Satire and Implements DEI Training After Backlash Over April Fools' Issue,Free speech lawyers say UNC violated North Carolina’s institutional neutrality law.,2026-04-10
https://www.yahoo.com/news/articles/trader-joes-opening-18-stores-210053924.html,Trader Joe's Is Opening 18 New Stores Across These 12 States,The grocery store chain previously said that it chooses new locations based on factors like population size and traffic,2026-04-10
https://www.yahoo.com/news/articles/ohio-teacher-sues-high-school-210030534.html,Ohio teacher sues high school for demanding he remove LGBT poster inside classroom,An anonymous Ohio high school teacher is suing the Little Miami School District over the removal of an LGBTQ poster that hung in his classroom for years.,2026-04-10
https://www.yahoo.com/news/articles/police-warn-residents-dangerous-door-205629574.html,Police Warn Residents About Dangerous ‘Door Kick’ Prank After Numerous Homes Are Damaged by Masked Perpetrators,"Authorities say the prank has gone beyond “ding, dong, ditch,” causing property damage and raising safety concerns",2026-04-10
https://www.yahoo.com/news/articles/beloved-nail-artist-killed-9-204957356.html,"Beloved Nail Artist Killed, and 9-Year-Old Son Found Floating in Canal Hours After They Left Easter Celebration",Martha Hernandez and her son Adrian were killed after their car was struck and pushed into a canal,2026-04-10
https://www.yahoo.com/news/articles/maryland-hospital-held-woman-months-202615119.html,A Maryland Hospital Held a Woman for Months Against Her Will. The Supreme Court Will Decide if She Can Sue.,The case will determine whether an unnamed plaintiff can take the hospital and its doctors to federal court.,2026-04-10
https://www.yahoo.com/news/articles/man-accused-tossing-molotov-cocktail-202138999.html,Man Accused of Tossing Molotov Cocktail at Sam Altman’s SF Home Arrested at OpenAI HQ,"A man was arrested early Friday morning after allegedly targeting the San Francisco home and office of OpenAI co-founder and CEO Sam Altman with a Molotov cocktail, according to police and the company...",2026-04-10
https://www.yahoo.com/news/articles/james-comer-tells-fox-news-200114635.html,James Comer Tells Fox News: Oversight Committee Will Hold Hearings With Epstein Victims,James Comer told Fox News Friday that he does in fact plan to hold hearings for the survivors of convicted pedophile Jeffrey Epstein.,2026-04-10
https://www.yahoo.com/news/articles/real-reason-monthly-gas-bill-195500428.html,The real reason your monthly gas bill keeps going up,Are we paying for infrastructure we won’t need?,2026-04-10
https://www.yahoo.com/news/articles/mom-speaks-days-missing-daughter-195418763.html,"Mom Speaks Out Days After Missing Daughter Went Overboard in Bahamas: Husband 'Looks Sweet as Pie, But He's Not'",Brian Hooker was arrested Wednesday evening in the Bahamas in connection with his wife Lynette Hooker's disappearance. He has not been charged and denies any wrongdoing,2026-04-10
https://www.yahoo.com/news/articles/polygamist-leader-sam-bateman-had-195034563.html,"Polygamist Leader Sam Bateman Had More than 20 Wives. But He Wanted More, Including Queen Elizabeth",Bateman was sentenced to 50 years in prison after pleading guilty to conspiracy to kidnap and transport a minor for sexual activity,2026-04-10
https://www.yahoo.com/news/articles/wash-man-kills-relative-wounds-194014689.html,"Wash. Man Kills Relative, Wounds Her Sister in Shocking Burst of Violence Before Neighbor Intervenes","Officers responded to a home in Puyallup, Wash., around 9:10 a.m. on April 2 after a reported family dispute",2026-04-10
https://www.yahoo.com/news/articles/arson-suspect-california-warehouse-fire-193118944.html,Arson suspect in California warehouse fire allegedly compared himself to Luigi Mangione,The 29-year-old man charged in connection with fires that burned down a paper products warehouse in California was allegedly motivated by anti-capitalism sentiment and compared himself to Luigi Mangio...,2026-04-10
https://www.yahoo.com/news/articles/woman-struck-lightning-walk-left-192448945.html,"Woman Was Struck by Lightning on Walk and Left with No Pulse. Now She's Hospitalized, but Police Don't Know Who She Is","All attempts to identify her so far have failed, including fingerprinting, local missing persons reports and her phone, which was damaged in the incident",2026-04-10
https://www.yahoo.com/news/articles/teens-suspected-murdering-congressional-intern-190439489.html,"Teens suspected of murdering congressional intern linked by DNA on shell casings, prosecutors say",DNA evidence allegedly links two teenagers to the fatal shooting of a University of Massachusetts student working as a congressional intern in D.C.,2026-04-10
https://www.yahoo.com/news/articles/chicago-suburb-locals-hope-reparations-183449883.html,Chicago suburb locals hope reparations addresses 'affordability pressures' as Black population dwindles,"Evanston, Illinois has paid out millions in reparations to Black residents, but some locals say the $25,000 payments aren't enough to address decades of housing discrimination.",2026-04-10
https://www.yahoo.com/news/articles/both-people-aboard-die-single-182348453.html,Both People Aboard Die After Single-Engine Plane Crashes on Remote Area of Island,"A small aircraft crashed on Catalina Island, located about 22 miles off the southern California coast",2026-04-10
https://www.yahoo.com/news/articles/nyc-judge-seeks-example-officer-181946755.html,"NYC judge seeks to make example of officer who threw cooler at fleeing suspect, causing fatal crash","Ex-NYPD Officer Erik Duran was sentenced to three to nine years for manslaughter after throwing a cooler at a fleeing suspect, a rare on-duty conviction.",2026-04-10
https://www.yahoo.com/news/articles/mom-saw-son-4-motionless-181750613.html,"Mom Saw Son, 4, Motionless on His Knees for Hours. She Took a Photo of Him, and Now She's Charged: Reports","Amie Ruleman, 40, was arrested a day after her son, who had autism, is believed to have died",2026-04-10
https://www.yahoo.com/news/articles/alleged-charlie-kirk-assassin-tyler-180944163.html,"Alleged Charlie Kirk assassin Tyler Robinson's fingerprints, palm print found near rooftop: report","Newly released search warrants reportedly reveal DNA and phone evidence in the case against Tyler Robinson, accused of assassinating Charlie Kirk.",2026-04-10
https://www.yahoo.com/news/articles/openai-ceo-sam-altmans-home-175749165.html,OpenAI CEO Sam Altman's home targeted in Molotov cocktail attack; man arrested: police,"A person is in custody in San Francisco, California, Friday for allegedly throwing a Molotov cocktail at the home of OpenAI CEO Sam Altman.",2026-04-10
