"Time","Business"
"2026-02-10",90
"2026-02-11",81
"2026-02-12",85
"2026-02-13",87
"2026-02-14",76
"2026-02-15",69
"2026-02-16",87
"2026-02-17",92
"2026-02-18",89
"2026-02-19",88
"2026-02-20",81
"2026-02-21",72
"2026-02-22",67
"2026-02-23",91
"2026-02-24",92
"2026-02-25",90
"2026-02-26",100
"2026-02-27",99
"2026-02-28",65
"2026-03-01",63
"2026-03-02",94
"2026-03-03",95
"2026-03-04",94
"2026-03-05",87
"2026-03-06",80
"2026-03-07",62
"2026-03-08",61
"2026-03-09",88
"2026-03-10",86
"2026-03-11",86
"2026-03-12",85
"2026-03-13",78
"2026-03-14",62
"2026-03-15",64
"2026-03-16",84
"2026-03-17",86
"2026-03-18",87
"2026-03-19",88
"2026-03-20",90
"2026-03-21",65
"2026-03-22",66
"2026-03-23",90
"2026-03-24",80
"2026-03-25",90
"2026-03-26",85
"2026-03-27",86
"2026-03-28",69
"2026-03-29",79
"2026-03-30",92
"2026-03-31",88
"2026-04-01",88
"2026-04-02",81
"2026-04-03",77
"2026-04-04",58
"2026-04-05",61
"2026-04-06",84
"2026-04-07",89
"2026-04-08",92
"2026-04-09",92
"2026-04-10",85
"2026-04-11",63
"2026-04-12",61
"2026-04-13",87
"2026-04-14",94
"2026-04-15",93
"2026-04-16",89
"2026-04-17",89
"2026-04-18",67
"2026-04-19",62
"2026-04-20",84
"2026-04-21",83
"2026-04-22",89
"2026-04-23",83
"2026-04-24",80
"2026-04-25",59
"2026-04-26",45
"2026-04-27",62
"2026-04-28",62
"2026-04-29",65
"2026-04-30",62
"2026-05-01",56
"2026-05-02",45
"2026-05-03",45
"2026-05-04",62
"2026-05-05",61
"2026-05-06",65
"2026-05-07",62
"2026-05-08",55
"2026-05-09",43
