"Time","Crime"
"2026-02-10",92
"2026-02-11",82
"2026-02-12",82
"2026-02-13",82
"2026-02-14",73
"2026-02-15",77
"2026-02-16",85
"2026-02-17",88
"2026-02-18",84
"2026-02-19",86
"2026-02-20",81
"2026-02-21",78
"2026-02-22",74
"2026-02-23",91
"2026-02-24",86
"2026-02-25",89
"2026-02-26",93
"2026-02-27",100
"2026-02-28",65
"2026-03-01",63
"2026-03-02",91
"2026-03-03",98
"2026-03-04",81
"2026-03-05",77
"2026-03-06",72
"2026-03-07",66
"2026-03-08",72
"2026-03-09",80
"2026-03-10",75
"2026-03-11",74
"2026-03-12",83
"2026-03-13",71
"2026-03-14",64
"2026-03-15",65
"2026-03-16",69
"2026-03-17",72
"2026-03-18",76
"2026-03-19",77
"2026-03-20",72
"2026-03-21",68
"2026-03-22",69
"2026-03-23",81
"2026-03-24",72
"2026-03-25",77
"2026-03-26",73
"2026-03-27",74
"2026-03-28",66
"2026-03-29",67
"2026-03-30",72
"2026-03-31",73
"2026-04-01",79
"2026-04-02",73
"2026-04-03",67
"2026-04-04",66
"2026-04-05",67
"2026-04-06",84
"2026-04-07",97
"2026-04-08",74
"2026-04-09",75
"2026-04-10",70
"2026-04-11",63
"2026-04-12",59
"2026-04-13",72
"2026-04-14",72
"2026-04-15",70
"2026-04-16",72
"2026-04-17",83
"2026-04-18",63
"2026-04-19",62
"2026-04-20",72
"2026-04-21",78
"2026-04-22",75
"2026-04-23",75
"2026-04-24",73
"2026-04-25",63
"2026-04-26",52
"2026-04-27",57
"2026-04-28",59
"2026-04-29",58
"2026-04-30",57
"2026-05-01",57
"2026-05-02",50
"2026-05-03",50
"2026-05-04",56
"2026-05-05",61
"2026-05-06",60
"2026-05-07",63
"2026-05-08",56
"2026-05-09",49
