"Time","Education"
"2026-02-10",81
"2026-02-11",69
"2026-02-12",65
"2026-02-13",73
"2026-02-14",61
"2026-02-15",66
"2026-02-16",82
"2026-02-17",83
"2026-02-18",78
"2026-02-19",77
"2026-02-20",72
"2026-02-21",62
"2026-02-22",58
"2026-02-23",75
"2026-02-24",78
"2026-02-25",75
"2026-02-26",88
"2026-02-27",100
"2026-02-28",41
"2026-03-01",37
"2026-03-02",66
"2026-03-03",77
"2026-03-04",68
"2026-03-05",65
"2026-03-06",57
"2026-03-07",40
"2026-03-08",39
"2026-03-09",59
"2026-03-10",57
"2026-03-11",56
"2026-03-12",58
"2026-03-13",49
"2026-03-14",36
"2026-03-15",39
"2026-03-16",52
"2026-03-17",56
"2026-03-18",64
"2026-03-19",65
"2026-03-20",59
"2026-03-21",48
"2026-03-22",45
"2026-03-23",61
"2026-03-24",57
"2026-03-25",69
"2026-03-26",59
"2026-03-27",54
"2026-03-28",41
"2026-03-29",42
"2026-03-30",56
"2026-03-31",56
"2026-04-01",58
"2026-04-02",48
"2026-04-03",44
"2026-04-04",34
"2026-04-05",39
"2026-04-06",55
"2026-04-07",58
"2026-04-08",64
"2026-04-09",64
"2026-04-10",55
"2026-04-11",41
"2026-04-12",38
"2026-04-13",55
"2026-04-14",62
"2026-04-15",60
"2026-04-16",57
"2026-04-17",66
"2026-04-18",41
"2026-04-19",40
"2026-04-20",58
"2026-04-21",60
"2026-04-22",63
"2026-04-23",59
"2026-04-24",55
"2026-04-25",43
"2026-04-26",27
"2026-04-27",43
"2026-04-28",42
"2026-04-29",43
"2026-04-30",40
"2026-05-01",35
"2026-05-02",24
"2026-05-03",26
"2026-05-04",38
"2026-05-05",41
"2026-05-06",45
"2026-05-07",42
"2026-05-08",39
"2026-05-09",24
