"Time","Immigration"
"2026-02-10",93
"2026-02-11",82
"2026-02-12",78
"2026-02-13",77
"2026-02-14",62
"2026-02-15",59
"2026-02-16",66
"2026-02-17",73
"2026-02-18",73
"2026-02-19",73
"2026-02-20",73
"2026-02-21",64
"2026-02-22",55
"2026-02-23",68
"2026-02-24",70
"2026-02-25",80
"2026-02-26",82
"2026-02-27",89
"2026-02-28",38
"2026-03-01",36
"2026-03-02",68
"2026-03-03",100
"2026-03-04",64
"2026-03-05",69
"2026-03-06",62
"2026-03-07",44
"2026-03-08",57
"2026-03-09",66
"2026-03-10",59
"2026-03-11",67
"2026-03-12",82
"2026-03-13",59
"2026-03-14",42
"2026-03-15",38
"2026-03-16",55
"2026-03-17",60
"2026-03-18",62
"2026-03-19",63
"2026-03-20",59
"2026-03-21",45
"2026-03-22",44
"2026-03-23",65
"2026-03-24",62
"2026-03-25",64
"2026-03-26",62
"2026-03-27",58
"2026-03-28",43
"2026-03-29",56
"2026-03-30",59
"2026-03-31",58
"2026-04-01",68
"2026-04-02",58
"2026-04-03",46
"2026-04-04",36
"2026-04-05",39
"2026-04-06",52
"2026-04-07",57
"2026-04-08",57
"2026-04-09",58
"2026-04-10",60
"2026-04-11",42
"2026-04-12",35
"2026-04-13",55
"2026-04-14",57
"2026-04-15",50
"2026-04-16",60
"2026-04-17",67
"2026-04-18",41
"2026-04-19",39
"2026-04-20",58
"2026-04-21",62
"2026-04-22",60
"2026-04-23",60
"2026-04-24",55
"2026-04-25",40
"2026-04-26",32
"2026-04-27",43
"2026-04-28",51
"2026-04-29",58
"2026-04-30",56
"2026-05-01",46
"2026-05-02",30
"2026-05-03",28
"2026-05-04",48
"2026-05-05",56
"2026-05-06",56
"2026-05-07",51
"2026-05-08",44
"2026-05-09",32
