"Time","Politics"
"2026-02-10",73
"2026-02-11",61
"2026-02-12",57
"2026-02-13",69
"2026-02-14",58
"2026-02-15",63
"2026-02-16",65
"2026-02-17",73
"2026-02-18",70
"2026-02-19",67
"2026-02-20",73
"2026-02-21",65
"2026-02-22",61
"2026-02-23",68
"2026-02-24",63
"2026-02-25",68
"2026-02-26",83
"2026-02-27",100
"2026-02-28",39
"2026-03-01",35
"2026-03-02",54
"2026-03-03",57
"2026-03-04",53
"2026-03-05",55
"2026-03-06",47
"2026-03-07",32
"2026-03-08",34
"2026-03-09",48
"2026-03-10",45
"2026-03-11",46
"2026-03-12",47
"2026-03-13",39
"2026-03-14",31
"2026-03-15",34
"2026-03-16",42
"2026-03-17",42
"2026-03-18",45
"2026-03-19",48
"2026-03-20",46
"2026-03-21",36
"2026-03-22",37
"2026-03-23",49
"2026-03-24",45
"2026-03-25",46
"2026-03-26",44
"2026-03-27",43
"2026-03-28",32
"2026-03-29",39
"2026-03-30",43
"2026-03-31",42
"2026-04-01",41
"2026-04-02",39
"2026-04-03",41
"2026-04-04",28
"2026-04-05",29
"2026-04-06",40
"2026-04-07",48
"2026-04-08",45
"2026-04-09",44
"2026-04-10",40
"2026-04-11",31
"2026-04-12",32
"2026-04-13",45
"2026-04-14",45
"2026-04-15",43
"2026-04-16",45
"2026-04-17",53
"2026-04-18",32
"2026-04-19",31
"2026-04-20",45
"2026-04-21",44
"2026-04-22",47
"2026-04-23",45
"2026-04-24",43
"2026-04-25",31
"2026-04-26",29
"2026-04-27",36
"2026-04-28",34
"2026-04-29",33
"2026-04-30",33
"2026-05-01",31
"2026-05-02",23
"2026-05-03",24
"2026-05-04",33
"2026-05-05",35
"2026-05-06",35
"2026-05-07",35
"2026-05-08",34
"2026-05-09",26
