"Time","Natural science"
"2026-02-10",61
"2026-02-11",65
"2026-02-12",49
"2026-02-13",69
"2026-02-14",62
"2026-02-15",64
"2026-02-16",65
"2026-02-17",70
"2026-02-18",59
"2026-02-19",62
"2026-02-20",68
"2026-02-21",64
"2026-02-22",59
"2026-02-23",81
"2026-02-24",67
"2026-02-25",64
"2026-02-26",84
"2026-02-27",100
"2026-02-28",49
"2026-03-01",41
"2026-03-02",58
"2026-03-03",61
"2026-03-04",55
"2026-03-05",52
"2026-03-06",44
"2026-03-07",42
"2026-03-08",39
"2026-03-09",47
"2026-03-10",43
"2026-03-11",42
"2026-03-12",31
"2026-03-13",42
"2026-03-14",29
"2026-03-15",36
"2026-03-16",51
"2026-03-17",46
"2026-03-18",49
"2026-03-19",53
"2026-03-20",50
"2026-03-21",40
"2026-03-22",42
"2026-03-23",52
"2026-03-24",46
"2026-03-25",45
"2026-03-26",48
"2026-03-27",51
"2026-03-28",38
"2026-03-29",43
"2026-03-30",49
"2026-03-31",53
"2026-04-01",49
"2026-04-02",41
"2026-04-03",45
"2026-04-04",33
"2026-04-05",36
"2026-04-06",59
"2026-04-07",53
"2026-04-08",68
"2026-04-09",60
"2026-04-10",55
"2026-04-11",35
"2026-04-12",48
"2026-04-13",46
"2026-04-14",48
"2026-04-15",47
"2026-04-16",39
"2026-04-17",54
"2026-04-18",41
"2026-04-19",41
"2026-04-20",50
"2026-04-21",58
"2026-04-22",53
"2026-04-23",52
"2026-04-24",48
"2026-04-25",39
"2026-04-26",24
"2026-04-27",34
"2026-04-28",33
"2026-04-29",32
"2026-04-30",29
"2026-05-01",27
"2026-05-02",21
"2026-05-03",20
"2026-05-04",29
"2026-05-05",30
"2026-05-06",31
"2026-05-07",32
"2026-05-08",31
"2026-05-09",23
